Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
0.001,0.0033223356728170647,0.003322337661605759,7.1350724811e-09,-7.904407659e-09,-0.0033223356728,6.1620002068e-09,5.4693882442e-10,0.0033223376616,18.0000033224
0.002,0.006644463304824048,0.006644466069404329,1.460460673e-08,-1.0308817008e-08,-0.0066444633048,7.3055187658e-09,2.0397154748e-09,0.0066444660694,18.0000132892
0.003,0.009966162934835295,0.009966166387304158,2.2375021293e-08,-1.4243485212e-08,-0.0099661629348,8.4503533619e-09,3.3862129083e-09,0.0099661663873,18.0000299
0.004,0.013287222482050822,0.013287226703004267,3.0551130758e-08,-2.0425385287e-08,-0.013287222482,9.6641235916e-09,4.4742791846e-09,0.013287226703,18.0000531534
0.005,0.01660743130007268,0.01660743660600445,3.925159466e-08,-2.9553501998e-08,-0.0166074313,1.1028853673e-08,5.113688434e-09,0.016607436606,18.0000830482
0.006,0.019926578581104092,0.01992658567200464,4.8518155899e-08,-4.2360476928e-08,-0.019926578581,1.2570389562e-08,5.1815690224e-09,0.019926585672,18.0001195824
0.007,0.023244453135149386,0.023244463149004913,5.8376288603e-08,-5.9473983555e-08,-0.023244453135,1.442336502e-08,4.500010483e-09,0.023244463149,18.0001627538
0.008,0.026560842387213672,0.026560856987005475,6.8768420401e-08,-8.137309604e-08,-0.026560842387,1.6806558687e-08,2.9069926443e-09,0.026560856987,18.000212559300003
0.009,0.02987553118230283,0.029875552595006648,7.9526282035e-08,-1.0849009339e-07,-0.029875531182,1.9929607924e-08,3.4094039882e-10,0.029875552595,18.000268996
0.01,0.03318830146442304,0.03318833245900889,9.0489444754e-08,-1.4103681936e-07,-0.033188301464,2.4042895327e-08,-3.418903082e-09,0.033188332459,18.0003320602
0.011,0.03649893266357986,0.03649897663601287,1.0134542599e-07,-1.7904695294e-07,-0.036498932663,2.9487359604e-08,-8.3856581753e-09,0.036498976636,18.0004017479
